timestamp	follow	status	friend	text
1476760547660	3012	7413	268	"""@realDonaldTrump @bpolitics @jheil @sacca @sama @mcuban @ScottAdamsSays @infowars @Cernovich @BreitbartNews https://t.co/ijWGelUzKS"""
1476760560908	3981	50899	4112	"""RT @ericmetaxas: So let me put it another way. I think voting for Evan McMullin might feel good, but it will elect Hillary, which will feed"""
1476760565727	39	2031	9	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760572904	620	11816	259	"""@Youxia88 @ZermattForever @DocThompsonShow Any sign he will endorse McMullin?"""
1476760574661	213	553	308	"""Right. Because citizens would sit idly by as unprecedented Congressional machinations made someone with &lt; 1% of the https://t.co/KAQDPkbEOc"""
1476760576052	516	3384	444	"""Anyone know any Utahns? Show them this. I'll tweet at Karl Malone. https://t.co/mq2egVtwc1"""
1476760576560	327	7485	740	"""RT @TeamMcMullin: Thank you, #Utah! #McMullinFinn #EvanUT #utpol https://t.co/2ilif2iuYj https://t.co/6y0BwGa6dm"""
1476760598049	3973	117545	5001	"""RT @ericmetaxas: So let me put it another way. I think voting for Evan McMullin might feel good, but it will elect Hillary, which will feed"""
1476760602326	327	3305	590	"""@LoganDobson Would the data still be predictive if McMullin was offered in states he didn't make the ballot in?"""
1476760606142	70	4764	180	"""RT @JaredLogan: MCMULLIN 2016"""
1476760611974	373	1174	1462	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760624652	1810	49655	2098	"""i'm assUming the blue ones? https://t.co/c51lMCIwwa"""
1476760631742	2544	90107	2405	"""RT @TheRickWilson: Starting to look like we can earn those with enough work. https://t.co/a3N0cCw2zW"""
1476760640949	128	3602	351	"""RT @ericmetaxas: So let me put it another way. I think voting for Evan McMullin might feel good, but it will elect Hillary, which will feed"""
1476760667749	1468	1391	331	"""@JonahRosenbaum saving this tweet to throw in your face when McMullin takes Utah. McMullin will soon pass mclovin on the 'mC' power rankings"""
1476760674925	1088	30078	890	"""RT @RodneyUdell: Commit to vote for Evan McMullin on November 8 https://t.co/81HikBYxJK"""
1476760677329	122	1244	351	"""RT @MiriintheVillag: I'm finding that Evan is very popular among the under-40 crowd across the US. This is the dawn of a new age of cons """
1476760692329	2627	45722	3810	"""RT @RodneyUdell: Commit to vote for Evan McMullin on November 8 https://t.co/81HikBYxJK"""
1476760693050	2523	27695	4997	"""RT @jmfirs: @mindyfinn Writing in McMullin/Finn on the California ballot. Best choice for REAL leadership in Washington. :-)"""
1476760710702	2523	27698	4997	"""RT @RubioFans4Evan: VOTE FOR INTEGRITY: Vote Evan McMullin! Write his name in in Arizona &amp; California! #Evan_McMullin"""
1476760717122	1013	2833	1990	"""RT @4nconsulting: @JustCallMeV2 @TaraSetmayer @TeamMcMullin With McMullin, we save Reagan Wing of the party and defeat Hillary Clinton."""
1476760720264	160	98	370	"""I voted Evan McMullin on Of the 3 major candidates, if the election was today, who would you... via @wedgies #poll https://t.co/q3aDlUqyMn"""
1476760726280	382	9162	407	"""@PantsuitPolitic https://t.co/kMiHmMx8jj"""
1476760735380	2627	45723	3809	"""RT @RubioFans4Evan: VOTE FOR INTEGRITY: Vote Evan McMullin! Write his name in in Arizona &amp; California! #Evan_McMullin"""
1476760737401	3524	137333	4482	"""@cgate61 @Shoq @mkhammer or pick Johnson or McMullin. But unless 1 of notD/Rparties comes in 2nd, they don't get their VP, bcs Sen pix fr2."""
1476760739179	53	371	24	"""#StandWithEvan #McMullinmentum  #EvanMcMullin https://t.co/Fn2ieLOBXD"""
1476760753676	10431	472476	4592	"""RT @TheLibRepublic: NEW POLL: McMullin Now Only 1% Away from Leading in Utah https://t.co/pcihqCMFZm #EvanMcMullin #DonaldTrump"""
1476760756554	1019	17334	1245	"""Woo Hoo!! https://t.co/VJohwQCFkK"""
1476760766434	3617	147257	4373	"""RT @mckaycoppins: Here it is. New poll has Utah a statistical dead heat: Trump 30%  McMullin 29% Clinton: 28% Johnson 5% https://t.co/8bWmi"""
1476760770894	337	14749	343	"""RT @bestnaunieever: #McMullinFinn has inspired them a New Generation of Leaders out with the old and in with the new #Election2016 https://"""
1476760771510	3539	6077	5000	"""RT @MichaelOlhava: McMullin will not pick a justice to protect religious liberty-watch 4min video between time 1:45&amp;2:55 #EvanMcMullin  htt"""
1476760772454	267	2447	320	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760772392	61	312	241	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760779491	3539	6077	5000	"""RT @MichaelOlhava: #EvanMcMullin  United Nations, Council on Foreign Relations (CFR) Goldman Sachs. Sounds like the problem not the so """
1476760783538	174	4041	70	"""https://t.co/VMAtGe2GnI #StandUpWithEvan McMullin"""
1476760798313	3539	6077	5000	"""RT @MichaelOlhava: McMullin says he will not pick a justice to protect religious liberty-4min vid watch check 1:45&amp;2:55 #EvanMcMullin  http"""
1476760802699	429	66950	2300	"""RT @EWErickson: Mitt Romney Should Immediately Endorse Evan McMullin by: @josh_hammer https://t.co/xaSBgFAcvl https://t.co/lzDxshdzuD"""
1476760807042	1556	6480	2426	"""RT @lotsofuss: #mondaymotivation #Evan  Evan McMullin: Donald Trump Is Helping Vladimir Putin Undermine Our Demo... https://t.co/jpcpIr8M6A"""
1476760819657	3539	6077	5000	"""RT @MichaelOlhava: #EvanMcMullin #Castle2016 ??????? https://t.co/MKQIh6jzWS"""
1476760828281	461	5476	402	"""RT @GaryB97087168: You can now vote for Evan McMullin in 42 states! https://t.co/DobYdqxJL3"""
1476760834883	1904	38152	2311	"""RT @RubioFans4Evan: VOTE FOR INTEGRITY: Vote Evan McMullin! Write his name in in Arizona &amp; California! #Evan_McMullin"""
1476760836708	28	487	63	"""RT @DavidAFrench: Utah poll -- Trump 30 McMullin 29 Clinton 28. If McMullin forges ahead in Utah, could Idaho be next? https://t.co/y08An69"""
1476760849159	1088	30087	890	"""RT @PolitiBunny: No. I am voting for McMullin. My vote does not magically go to Hillary or Trump. Thx though. https://t.co/3YCcGLBzVA"""
1476760871393	80	2031	107	"""So true, @Evan_McMullin shining light in this dark campaign. May better angels guide him to the @WhiteHouse https://t.co/Pkivw8fEOs"""
1476760874587	29	235	87	"""RT @FiveThirtyEight: How Evan McMullin could win Utah and the presidency: https://t.co/22ey3xpRF3"""
1476760882135	291	1325	577	"""RT @PolitiBunny: No. I am voting for McMullin. My vote does not magically go to Hillary or Trump. Thx though. https://t.co/3YCcGLBzVA"""
1476760908535	26	184	108	"""RT @resurgent: Mitt Romney Should Immediately Endorse Evan McMullin  https://t.co/OEhqi9k4Vz https://t.co/JwmLaIt6tB"""
1476760914388	337	14751	343	"""RT @LibertyShines1: .@Evan_McMullin is tied 4 1st in Utah! Let's hope it catches fire and spreads! Evan McMullin for President https://t.co"""
1476760914355	1088	30089	890	"""RT @lotsofuss: #mondaymotivation #Evan  Evan McMullin Talks With Bret Baier About Starting a New Conservative Mo... https://t.co/FPdjfgyn8h"""
1476760932035	202	3043	515	"""In this year of constant surprises, this would be a great surprise.... https://t.co/JBjmWsabeN"""
1476760938477	8930	102776	7680	"""RT @Sheladywolf: A vote for Evan McMullin is Absolutely NOT a wasted vote.It is a vote for honor, a vote for integrity, a vote for reason,"""
1476760938346	257	5157	419	"""@WIforMcMullin Does Mr. McMullin really have a chance. https://t.co/JcDWQb0e2z"""
1476760951272	632	5014	1159	"""RT @Sheladywolf: A vote for Evan McMullin is Absolutely NOT a wasted vote.It is a vote for honor, a vote for integrity, a vote for reason,"""
1476760970367	197	5558	1982	"""McMullin's the candidate of conservatives who hate HRC, DJT, &amp; Johnson but still wanna vote. Most were GOP before 2 https://t.co/yDYVAtIZsA"""
1476760989468	1197	19186	1196	"""RT @mindyfinn: Pay attention to the great people of Utah. They know what's up! https://t.co/xAvKrkwbaK"""
